year,GDP,Pop,Steel
1980,75244937.47,11178.81699,809000
1981,78802559.99,11348.44199,724000
1982,70661594.54,11527.27403,334000
1983,67980358.79,11714.44195,462000
1984,73394748.44,11908.18892,628000
1985,78613636.43,12107.22507,570000
1986,83006565.66,12310.6659,632000
1987,88473324.85,12518.92993,818000
1988,94934831.27,12733.40897,1026000
1989,104953435.5,12956.08796,1008000
1990,125464694.3,13242,930000
1991,135256451.1,13457,1131000
1992,150360143.7,13671,1440000
1993,160267048.5,13883,1607000
1994,168328798.3,14091,1549000
1995,183366107.9,14297,1683000
1996,195840351.3,14498,2159000
1997,210387156.8,14695,2321000
1998,219485516.7,14887,2214000
1999,218581025.3,15077,1737000
2000,230224701.9,15263,1977000
2001,237829132.7,15445,2278000
2002,245218413.8,15623,2270000
2003,255250416,15800,2290000
2004,273652796.1,15974,2690000
2005,289368212.3,16147,2840000
2006,307648112.6,16319,2770000
2007,322739250.8,16491,2765000
2008,334130431.3,16661,3005000
2009,328903831.3,16829,1960000
2010,348125554.3,16993,2738000
2011,369399224.4,17153,3148000
2012,389046195,17310,3457000
2013,404783130.3,17463,3105000
2014,411934594.9,17614,3031000
2015,421430746.5,17763,3215000
2016,426765501.8,17910,3172000
